# 1. q 2.-3. xi = sqrt{rho} 4.-5. nu
# Time = 0.0000000000000000e+00	us = 0.0000000000000000e+00	qs = 0.0000000000000000e+00	l = 1.0000000000000000e+00

-3.1415926535897931e+00	7.0710678118654757e-01	7.0710678118654757e-01	-3.4638242249419736e-16	-1.4142135623730951e+00
-3.1412091583928219e+00	7.0710678118654757e-01	7.0710678118654746e-01	-1.0846881109746282e-03	-1.4142131464003940e+00
-3.1408256631958502e+00	7.0710678118654746e-01	7.0710678118654757e-01	-2.1693755838560970e-03	-1.4142118984825351e+00
-3.1404421679988790e+00	7.0710678118654757e-01	7.0710678118654746e-01	-3.2540617805485463e-03	-1.4142098186202530e+00
-3.1400586728019073e+00	7.0710678118654757e-01	7.0710678118654746e-01	-4.3387460629615458e-03	-1.4142069068147707e+00
-3.1396751776049361e+00	7.0710678118654746e-01	7.0710678118654757e-01	-5.4234277930007646e-03	-1.4142031630678014e+00
-3.1392916824079649e+00	7.0710678118654746e-01	7.0710678118654757e-01	-6.5081063325771443e-03	-1.4141985873815475e+00
-3.1389081872109932e+00	7.0710678118654757e-01	7.0710678118654746e-01	-7.5927810436035043e-03	-1.4141931797587004e+00
-3.1385246920140220e+00	7.0710678118654757e-01	7.0710678118654746e-01	-8.6774512879911423e-03	-1.4141869402024418e+00
-3.1381411968170503e+00	7.0710678118654757e-01	7.0710678118654746e-01	-9.7621164276590136e-03	-1.4141798687164420e+00
-3.1377577016200791e+00	7.0710678118654746e-01	7.0710678118654757e-01	-1.0846775824524051e-02	-1.4141719653048610e+00
-3.1373742064231074e+00	7.0710678118654757e-01	7.0710678118654746e-01	-1.1931428840511585e-02	-1.4141632299723479e+00
-3.1369907112261362e+00	7.0710678118654746e-01	7.0710678118654757e-01	-1.3016074837545686e-02	-1.4141536627240421e+00
-3.1366072160291649e+00	7.0710678118654746e-01	7.0710678118654757e-01	-1.4100713177558311e-02	-1.4141432635655713e+00
-3.1362237208321933e+00	7.0710678118654746e-01	7.0710678118654757e-01	-1.5185343222485924e-02	-1.4141320325030529e+00
-3.1358402256352220e+00	7.0710678118654746e-01	7.0710678118654757e-01	-1.6269964334266109e-02	-1.4141199695430944e+00
-3.1354567304382504e+00	7.0710678118654746e-01	7.0710678118654757e-01	-1.7354575874846716e-02	-1.4141070746927915e+00
-3.1350732352412791e+00	7.0710678118654746e-01	7.0710678118654757e-01	-1.8439177206176213e-02	-1.4140933479597304e+00
-3.1346897400443079e+00	7.0710678118654757e-01	7.0710678118654746e-01	-1.9523767690212832e-02	-1.4140787893519862e+00
-3.1343062448473362e+00	7.0710678118654746e-01	7.0710678118654757e-01	-2.0608346688921197e-02	-1.4140633988781230e+00
-3.1339227496503650e+00	7.0710678118654746e-01	7.0710678118654757e-01	-2.1692913564268907e-02	-1.4140471765471949e+00
-3.1335392544533933e+00	7.0710678118654757e-01	7.0710678118654746e-01	-2.2777467678235731e-02	-1.4140301223687448e+00
-3.1331557592564221e+00	7.0710678118654757e-01	7.0710678118654746e-01	-2.3862008392803915e-02	-1.4140122363528054e+00
-3.1327722640594509e+00	7.0710678118654757e-01	7.0710678118654746e-01	-2.4946535069967350e-02	-1.4139935185098986e+00
-3.1323887688624792e+00	7.0710678118654757e-01	7.0710678118654746e-01	-2.6031047071728194e-02	-1.4139739688510358e+00
-3.1320052736655080e+00	7.0710678118654746e-01	7.0710678118654757e-01	-2.7115543760093463e-02	-1.4139535873877171e+00
-3.1316217784685363e+00	7.0710678118654757e-01	7.0710678118654746e-01	-2.8200024497084211e-02	-1.4139323741319330e+00
-3.1312382832715651e+00	7.0710678118654757e-01	7.0710678118654746e-01	-2.9284488644725850e-02	-1.4139103290961621e+00
-3.1308547880745938e+00	7.0710678118654757e-01	7.0710678118654746e-01	-3.0368935565057320e-02	-1.4138874522933731e+00
-3.1304712928776222e+00	7.0710678118654746e-01	7.0710678118654757e-01	-3.1453364620127690e-02	-1.4138637437370243e+00
-3.1300877976806509e+00	7.0710678118654757e-01	7.0710678118654746e-01	-3.2537775171992772e-02	-1.4138392034410621e+00
-3.1297043024836793e+00	7.0710678118654746e-01	7.0710678118654757e-01	-3.3622166582724301e-02	-1.4138138314199236e+00
-3.1293208072867080e+00	7.0710678118654746e-01	7.0710678118654757e-01	-3.4706538214400222e-02	-1.4137876276885339e+00
-3.1289373120897364e+00	7.0710678118654757e-01	7.0710678118654746e-01	-3.5790889429115166e-02	-1.4137605922623084e+00
-3.1285538168927651e+00	7.0710678118654746e-01	7.0710678118654757e-01	-3.6875219588970734e-02	-1.4137327251571512e+00
-3.1281703216957939e+00	7.0710678118654757e-01	7.0710678118654746e-01	-3.7959528056084692e-02	-1.4137040263894560e+00
-3.1277868264988222e+00	7.0710678118654746e-01	7.0710678118654757e-01	-3.9043814192587553e-02	-1.4136744959761052e+00
-3.1274033313018510e+00	7.0710678118654757e-01	7.0710678118654746e-01	-4.0128077360619213e-02	-1.4136441339344710e+00
-3.1270198361048793e+00	7.0710678118654757e-01	7.0710678118654746e-01	-4.1212316922338087e-02	-1.4136129402824145e+00
-3.1266363409079081e+00	7.0710678118654757e-01	7.0710678118654746e-01	-4.2296532239911484e-02	-1.4135809150382861e+00
-3.1262528457109369e+00	7.0710678118654757e-01	7.0710678118654746e-01	-4.3380722675524702e-02	-1.4135480582209257e+00
-3.1258693505139652e+00	7.0710678118654757e-01	7.0710678118654746e-01	-4.4464887591377705e-02	-1.4135143698496617e+00
